chembl_id,name,smiles,max_phase,formula,chembl_mw
CHEMBL269732,TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,4.0,C44H69NO12,804.03
CHEMBL414,CARZENIDE,NS(=O)(=O)c1ccc(C(=O)O)cc1,2.0,C7H7NO4S,201.20
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,4.0,C19H23ClN2,314.86
CHEMBL7010,FENCAMFAMIN,CCNC1C2CCC(C2)C1c1ccccc1,2.0,C15H21N,215.34
CHEMBL416,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,4.0,C12H8O4,216.19
CHEMBL17,DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,4.0,C6H6Cl2N2O4S2,305.16
CHEMBL6607,BROLAMFETAMINE,COc1cc(CC(C)N)c(OC)cc1Br,2.0,C11H16BrNO2,274.16
CHEMBL18,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,4.0,C9H10N2O3S2,258.32
CHEMBL417,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,4.0,C27H29NO11,543.53
CHEMBL19,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,4.0,C5H8N4O3S2,236.28
CHEMBL20,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,4.0,C4H6N4O3S2,222.25
CHEMBL419,MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,4.0,C7H10N2O2S,186.24
CHEMBL21,SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,4.0,C6H8N2O2S,172.21
CHEMBL420,GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,4.0,C8H8Cl2N4,231.09
CHEMBL22,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,4.0,C14H18N4O3,290.32
CHEMBL6966,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.0,C27H38N2O4,454.61
CHEMBL421,SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,4.0,C18H14N4O5S,398.40
CHEMBL6466,COUMARIN,O=c1ccc2ccccc2o1,4.0,C9H6O2,146.14
CHEMBL23,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,4.0,C22H26N2O4S,414.53
CHEMBL24,ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,4.0,C14H22N2O3,266.34
CHEMBL25,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,4.0,C9H8O4,180.16
CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.0,C21H24F3N3S,407.51
CHEMBL26,SULPIRIDE,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,4.0,C15H23N3O4S,341.43
CHEMBL423,BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,4.0,C18H29NO3,307.43
CHEMBL424,SALICYLIC ACID,O=C(O)c1ccccc1O,4.0,C7H6O3,138.12
CHEMBL425,OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,4.0,C14H10N2O6,302.24
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,4.0,C16H21NO2,259.35
CHEMBL6995,PRACTOLOL,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,4.0,C14H22N2O3,266.34
CHEMBL427,MECHLORETHAMINE,CN(CCCl)CCCl,4.0,C5H11Cl2N,156.06
CHEMBL7002,CIGLITAZONE,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,2.0,C18H23NO3S,333.45
CHEMBL267447,CALANOLIDE A,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,1.0,C22H26O5,370.45
CHEMBL29,PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,4.0,C16H18N2O4S,334.40
CHEMBL428,TROVAFLOXACIN,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,4.0,C20H15F3N4O3,416.36
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,4.0,C10H16N6S,252.35
CHEMBL31,GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,4.0,C19H22FN3O4,375.40
CHEMBL269277,BETULINIC ACID,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1.0,C30H48O3,456.71
CHEMBL429,LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,4.0,C19H24N2O3,328.41
CHEMBL32,MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,4.0,C21H24FN3O4,401.44
CHEMBL33,LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,4.0,C18H20FN3O4,361.37
CHEMBL7467,FLESTOLOL,CC(C)(CNC(N)=O)NCC(O)COC(=O)c1ccccc1F,2.0,C15H22FN3O4,327.36
CHEMBL430,GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,4.0,C18H20FN5O4,389.39
CHEMBL7492,PIRITREXIM,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,2.0,C17H19N5O2,325.37
CHEMBL431,SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,4.0,C22H30N2O5S2,466.63
CHEMBL433,VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+],4.0,C8H15NaO2,166.20
CHEMBL434,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,4.0,C11H17NO3,211.26
CHEMBL266497,SORBINIL,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1,3.0,C11H9FN2O3,236.20
CHEMBL435,HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,4.0,C7H8ClN3O4S2,297.75
CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,4.0,C12H11ClN2O5S,330.75
CHEMBL404519,BEVIRIMAT,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,2.0,C36H56O6,584.84
CHEMBL36,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,4.0,C12H13ClN4,248.72
CHEMBL436,TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,4.0,C16H14F3NO3S,357.35
